,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
20590,10495.0,73.3721,42.6487,21.6126,77.823,1.5568,3.9161,6.1312,23.9904,24.4108,31.9629,73.3266,8.2051,252.5765,134.411,2.6664,0.0125,4.3681,0.0271,0.1093,0.1508,19373.334,2320.0,6455.1563,72.3814,0.1804,45558.3281,127.3194,126.4209
20591,10495.5,77.5077,45.8053,23.4974,81.882,1.6553,4.0166,6.6659,14.2987,20.0097,24.4189,82.717,8.2022,252.3929,134.3099,2.6377,0.007,4.1515,0.0449,0.1139,0.1491,20460.0,2566.6667,6568.5142,72.2065,0.1791,45522.1367,126.3962,126.1391
20592,10496.0,88.4578,52.7845,27.2522,93.065,1.8973,4.4846,7.7311,14.3779,18.5851,21.8278,98.1484,8.1883,252.2094,134.2089,2.5838,0.0015,3.5857,0.0784,0.1531,0.1984,16685.0,1873.3334,6626.7769,72.8951,0.1841,45486.0352,127.3437,127.3725
20593,10496.5,101.5615,60.7593,31.1078,106.7729,2.1993,5.1229,8.8249,15.2657,18.3265,19.2309,108.5629,8.1827,252.0269,134.1089,2.5523,0.0013,3.1699,0.0979,0.1659,0.2089,16326.667,1686.6666,6638.2314,75.2379,0.2011,45449.5859,130.2773,130.198
20594,10497.0,110.7125,67.1288,34.1819,116.1482,2.4408,5.4575,9.697,15.0849,14.7917,15.3362,119.4025,8.1903,251.8444,134.0088,2.5384,0.0057,3.0533,0.1066,0.1701,0.2106,15700.0,1720.0,6539.8687,80.8901,0.2423,45411.9688,136.6305,135.653
20595,10497.5,114.0491,69.6007,35.3949,119.667,2.5333,5.5741,10.0411,12.0693,12.594,13.3016,129.2181,8.1683,251.6619,133.9088,2.5259,0.0116,3.1089,0.1143,0.1709,0.2066,15866.667,1846.6666,6485.2461,84.3318,0.2673,45371.5234,146.2329,144.7966
20596,10498.0,112.9687,69.535,35.3564,118.4632,2.5312,5.4474,10.0302,8.2918,10.83,11.5217,133.1,8.1642,251.48,133.8094,2.5202,0.015,3.1708,0.1179,0.1755,0.2124,15180.0,1766.6666,6469.8936,86.3013,0.2817,45329.3594,151.4557,150.1439
20597,10498.5,112.0448,68.6267,34.7304,117.6095,2.5078,5.4534,9.8526,6.2133,9.0054,9.9392,132.0907,8.1607,251.2982,133.7101,2.5264,0.0189,3.1233,0.114,0.1835,0.2303,15906.667,1440.0,6477.4453,87.2772,0.2888,45286.207,152.9758,152.1367
20598,10499.0,109.0091,66.3803,33.3415,114.6532,2.4404,5.3744,9.4586,6.9171,9.1435,9.9246,126.5895,8.1665,251.1165,133.611,2.5439,0.0226,3.0317,0.1032,0.1809,0.2334,15890.0,1353.3334,6569.2192,87.1448,0.2878,45242.5703,152.9972,152.8736
20599,10499.5,102.5776,62.4242,31.3174,108.2588,2.2971,5.1029,8.8844,11.1739,11.5942,13.128,118.0864,8.1765,250.9345,133.5115,2.5714,0.0281,3.0574,0.0861,0.1675,0.2199,15206.667,1440.0,6586.1763,86.127,0.2804,45198.9961,152.6048,153.2242
