,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
13790,7084.5,11.6195,2.4315,7.98,0.3966,1.2936,0.69,615.26,1311.8113,0.0086,21.029,317.9104,8.0965,1337.8558,703.3552,2.7107,-0.0002,4.9695,-0.0081,0.0323,-0.0212,-0.0004,4637.6953,51.1015,94.9421,95.5411,0.0248,256993.1094,0.009
13791,7085.0,17.1196,0.3399,6.4751,0.4385,1.906,0.0964,410.7531,890.8134,0.01,22.7295,180.6419,8.0988,1337.6769,703.2588,2.6965,-0.0049,5.0042,-0.0057,0.014,-0.1684,0.0079,4631.9316,51.3436,95.7473,96.2288,0.0265,256954.7969,0.0123
13792,7085.5,21.6456,0.3385,3.0214,0.1918,2.4099,0.0961,319.5331,699.7857,0.0136,22.9869,183.6419,8.1016,1337.4976,703.162,2.6801,-0.0117,4.9363,-0.004,0.0674,-0.0434,0.0175,4591.5347,51.3436,95.7473,96.2288,0.0265,256954.7969,0.0177
13793,7086.0,23.5531,0.3236,1.1506,0.0591,2.6223,0.0918,276.6561,602.9415,0.0161,22.1963,135.5399,8.1047,1337.3186,703.0654,2.6669,-0.016,4.87,0.0105,0.1025,0.1356,0.0252,4591.9487,51.4981,96.3649,96.4804,0.0276,256916.2813,0.0219
13794,7086.5,13.4865,0.1518,7.8661,0.5514,1.5015,0.0431,264.8705,557.6777,0.0172,21.346,134.9104,8.1028,1337.1394,702.9688,2.652,-0.0169,4.913,0.0424,-0.0158,0.1022,0.0339,4624.437,51.4981,96.3649,96.4804,0.0276,256916.2813,0.0254
13795,7087.0,14.5607,0.1585,6.6531,0.4642,1.6211,0.045,286.2117,575.6625,0.0165,21.6742,135.7216,8.106,1336.9603,702.8721,2.6405,-0.0133,4.9558,0.0572,0.0311,0.0384,0.0407,4647.188,51.5251,96.7463,96.15,0.0278,256864.7813,0.0271
13796,7087.5,11.9846,0.159,9.0675,0.6367,1.3343,0.0451,318.1616,616.543,0.0157,23.0092,144.8852,8.1075,1336.7811,702.7755,2.6452,-0.0075,4.9486,0.031,0.3047,-0.084,0.0379,4667.271,51.4063,96.9615,95.596,0.0269,256826.1563,0.0256
13797,7088.0,11.8885,0.1591,9.36,0.6576,1.3236,0.0451,344.5842,651.1611,0.0175,24.9932,137.3135,8.1034,1336.6019,702.6787,2.6614,-0.0029,4.9365,-0.0103,0.5394,-0.1635,0.0284,4637.9272,51.4063,96.9615,95.596,0.0269,256826.1563,0.0239
13798,7088.5,13.0003,0.1592,8.3576,0.586,1.4474,0.0452,367.1685,681.1713,0.0175,24.7396,166.1094,8.1049,1336.4227,702.5819,2.6736,0.0011,5.0023,-0.0293,0.554,0.0297,0.0213,4624.2666,51.2214,96.9593,95.1896,0.0256,256787.5938,0.0216
13799,7089.0,12.0858,0.1574,9.3666,0.6582,1.3456,0.0447,359.9298,687.4391,0.0159,26.2164,217.5366,8.1076,1336.2435,702.4852,2.6765,0.0036,5.093,-0.0181,0.1955,0.0405,0.0196,4632.9302,51.2214,96.9593,95.1896,0.0256,256787.5938,0.02
